,x
768,0.004331
769,-0.00172
770,0.001294
771,-0.00039
772,0.000494
773,0.002194
774,-0.00103
775,0.000339
776,-0.00189
777,0.003184
778,-0.00081
779,-0.00407
780,0.004245
781,-0.0025
782,0.004165
783,-0.00305
784,0.001627
785,-0.00312
786,0.004404
787,-0.00298
788,0.0024
789,-0.00248
790,0.00162
791,-0.0022
792,0.001288
793,0.000748
794,-0.00116
795,0.000176
796,-0.00057
797,-0.00021
798,0.001966
799,-0.00402
800,0.002725
801,-0.00501
802,0.003531
803,-0.00212
804,0.002159
805,-0.00053
806,0.000188
807,0.000446
808,-0.00164
809,0.00222
810,-0.00312
811,0.001011
812,0.000167
813,-0.00225
814,0.002351
815,-0.00412
816,0.005254
817,-0.00173
818,0.002497
819,-0.00235
820,0.001196
821,-0.00208
822,0.000631
823,-0.00081
824,0.000456
825,-0.00285
826,0.001491
827,-0.00215
828,0.000938
829,-0.00164
830,0.002293
831,0.000995
832,-0.00109
833,0.001213
834,-0.00102
835,-0.00042
836,0.002763
837,-0.00048
838,-0.00033
839,0.000564
840,-0.00175
841,0.002493
842,-0.0028
843,0.001133
844,-0.00124
845,0.000142
846,-0.00082
847,0.002427
848,-0.00125
849,0.001281
850,0.00058
851,0.001271
852,-0.00094
853,0.002842
854,-0.00181
855,0.001634
856,0.000727
857,0.002766
858,-0.00244
859,0.002239
860,-0.00274
861,0.002377
862,-0.00255
863,0.003043
864,-0.00135
865,-0.00032
866,0.002508
867,-0.00361
868,0.003831
869,-0.00371
870,0.00294
871,-0.00195
872,0.000147
873,0.001803
874,-0.00244
875,0.004419
876,-0.00302
877,0.000281
878,-0.00211
879,-0.00011
880,0.001094
881,-0.00167
882,0.003505
883,-0.00309
884,0.002357
885,-0.00022
886,0.004662
887,-0.00539
888,0.004648
889,-0.00388
890,0.001553
891,-0.00224
892,0.000994
893,-0.00206
894,0.002035
895,-0.00199
896,0.000311
897,0.000863
898,-0.00203
899,0.002257
900,-0.00165
901,0.001362
902,-0.00216
903,0.002436
904,-0.00348
905,0.002912
906,-0.0018
907,-0.0002
908,0.000491
909,-0.00024
910,-0.00025
911,-0.00031
912,5.36E-05
913,-2.60E-05
914,0.002409
915,-0.00342
916,0.003017
917,-0.0026
918,0.002986
919,-0.00144
920,-0.00061
921,0.000917
922,0.000538
923,6.95E-05
924,-0.002
925,0.000656
926,-0.00036
927,-0.00092
928,0.001929
929,2.31E-05
930,0.001624
931,-0.00247
932,0.002032
933,-0.00338
934,0.004544
935,-0.00212
936,0.001666
937,-0.00036
938,9.55E-05
939,-0.00069
940,0.003832
941,-0.00371
942,0.004421
943,-0.00366
944,0.00383
945,-0.00465
946,0.005328
947,-0.0019
948,0.00154
949,0.000872
950,-0.00105
951,0.000736
952,-0.00299
953,0.001465
954,-0.00137
955,0.001495
956,-0.00154
957,-0.00086
958,0.002104
959,-0.00164
960,-0.00073
961,0.001214
962,-0.00011
963,-0.00059
964,-0.00116
965,-0.00025
966,-0.00075
967,0.002355
968,-0.00222
969,0.00058
970,0.000209
971,-0.001
972,-0.00103
973,-0.00073
974,-0.00014
975,-0.00111
976,-0.00021
977,-0.00169
978,0.002042
979,-0.00165
980,-0.00018
981,0.000528
982,0.001139
983,0.00049
984,0.000979
985,-0.00085
